Name,Order,Family,Organism,WH,TSH,Cotyledon,AP
PM_37,Fabales,Polygalaceae,Polygala ramosa,Herbaceous,Herb,Dicot,Annual
1753,Caryophyllales,Polygonaceae,Polygonum americanum,Woody,Shrub,Dicot,Perennial
1486,Caryophyllales,Polygonaceae,Polygonum fimbriatum,Woody,Shrub,Dicot,Annual
1520,Caryophyllales,Polygonaceae,Polygonum pinicola,Woody,Shrub,Dicot,Annual
KJ773787,Saxifragales,Haloragaceae,Proserpinaca pectinata,Herbaceous,Herb,Dicot,Perennial
1500,Rosales,Rosaceae,Prunus alabamensis,Woody,Tree,Dicot,Perennial
1499,Rosales,Rosaceae,Prunus serotina,Woody,Tree,Dicot,Perennial
KJ773792,Rosales,Rosaceae,Prunus umbellata,Woody,Tree,Dicot,Perennial
1771,Asterales,Asteraceae,Pseudognaphalium obtusifolium,Herbaceous,Herb,Dicot,Annual
BJX07,Sapindales,Rutaceae,Ptelea trifoliata ssp trifoliata,Woody,Tree,Dicot,Perennial
1905,Ericales,Diapensiaceae,Pyxidanthera brevifolia,Herbaceous,Herb,Dicot,Perennial
1587,Fagales,Fagaceae,Quercus incana,Woody,Tree,Dicot,Perennial
1721,Fagales,Fagaceae,Quercus laevis,Woody,Tree,Dicot,Perennial
KF683158,Fagales,Fagaceae,Quercus margarettiae,Woody,Tree,Dicot,Perennial
PM_21,Myrtales,Melastomataceae,Rhexia alifanus,Herbaceous,Herb,Dicot,Perennial
PM_20,Myrtales,Melastomataceae,Rhexia mariana var. mariana,Herbaceous,Herb,Dicot,Perennial
HS_03,Ericales,Ericaceae,Rhododendron viscosum var. viscosum,Woody,Shrub,Dicot,Perennial
1555,Poales,Cyperaceae,Rhynchospora ciliaris,Herbaceous,Herb,Monocot,Perennial
2009_07,Poales,Cyperaceae,Rhynchospora microcephala,Herbaceous,Herb,Monocot,Perennial
PM_34,Poales,Cyperaceae,Rhynchospora plumosa,Herbaceous,Herb,Monocot,Perennial
PM_03,Poales,Cyperaceae,Rhynchospora rariflora,Herbaceous,Herb,Monocot,Perennial
2009_01,Poales,Cyperaceae,Rhynchospora stenophylla,Herbaceous,Herb,Monocot,Perennial
KJ773846,Rosales,Rosaceae,Rubus cuneifolius,Woody,Shrub,Dicot,Perennial
KJ773847,Rosales,Rosaceae,Rubus trivialis,Woody,Shrub,Dicot,Perennial
PM_09,Gentianales,Gentianaceae,Sabatia macrophylla var. macrophylla,Herbaceous,Herb,Dicot,Perennial
PM2_02,Alismatales,Alismataceae,Sagittaria latifolia var. latifolia,Herbaceous,Herb,Monocot,Perennial
KR819587,Ericales,Sarraceniaceae,Sarracenia psittacina,Herbaceous,Herb,Dicot,Perennial
BJX08,Ericales,Sarraceniaceae,Sarracenia rubra ssp. rubra,Herbaceous,Herb,Dicot,Perennial
1592,Laurales,Lauraceae,Sassafras albidum,Woody,Tree,Dicot,Perennial
2027,Poales,Poaceae,Schizachyrium scoparium var. scoparium,Herbaceous,Herb,Monocot,Perennial
2010_29,Poales,Cyperaceae,Scleria pauciflora var caroliniana,Herbaceous,Herb,Monocot,Perennial
PM_14,Poales,Cyperaceae,Scleria triglomerata,Herbaceous,Herb,Monocot,Perennial
PM2_08,Lamiales,Lamiaceae,Scutellaria integrifolia,Herbaceous,Herb,Dicot,Perennial
1697,Asterales,Asteraceae,Silphium compositum var. compositum,Herbaceous,Herb,Dicot,Perennial
1700,Liliales,Smilacaceae,Smilax auriculata,Woody,Tree,Monocot,Perennial
KJ773902,Liliales,Smilacaceae,Smilax laurifolia,Woody,Tree,Monocot,Perennial
1772,Asterales,Asteraceae,Solidago nemoralis var. nemoralis,Herbaceous,Herb,Dicot,Perennial
1857,Caryophyllales,Caryophyllaceae,Stipulicida setacea,Herbaceous,Herb,Dicot,Perennial
1506,Solanales,Convolvulaceae,Stylisma patens,Herbaceous,Herb,Dicot,Perennial
1761,Fabales,Fabaceae,Stylosanthes biflora,Herbaceous,Herb,Dicot,Perennial
1527,Asterales,Asteraceae,Symphyotrichum concolor var. concolor,Herbaceous,Herb,Dicot,Perennial
PM_31,Poales,Eriocaulaceae,Syngonanthus flavidulus,Herbaceous,Herb,Monocot,Perennial
1503,Fabales,Fabaceae,Tephrosia virginiana,Herbaceous,Herb,Dicot,Perennial
KJ773951,Sapindales,Anacardiaceae,Toxicodendron pubescens,Woody,Shrub,Dicot,Perennial
1535,Caryophyllales,Commelinaceae,Tradescantia ohiensis,Herbaceous,Herb,Monocot,Perennial
1597,Caryophyllales,Commelinaceae,Tradescantia subaspera,Herbaceous,Herb,Monocot,Perennial
1794,Malpighiales,Euphorbiaceae,Tragia urticifolia,Herbaceous,Herb,Dicot,Perennial
AF518399,Malpighiales,Clusiaceae,Triadenum virginicum,Herbaceous,Herb,Dicot,Perennial
PM_07,Alismatales,Tofieldiaceae,Triantha racemosa,Herbaceous,Herb,Monocot,Perennial
1909,Lamiales,Lamiaceae,Trichostema dichotomum,Herbaceous,Herb,Dicot,Annual
1908,Lamiales,Lamiaceae,Trichostema setaceum,Herbaceous,Herb,Dicot,Annual
KJ773958,Fabales,Fabaceae,Trifolium campestre,Herbaceous,Herb,Dicot,Annual
MKTRT1830,Lamiales,Lentibulariaceae,Utricularia purpurea,Herbaceous,Herb,Dicot,Annual
PCCMN396,Lamiales,Lentibulariaceae,Utricularia subulata,Herbaceous,Herb,Dicot,Perennial
KJ773963,Ericales,Ericaceae,Vaccinium arboreum,Woody,Tree,Dicot,Perennial
1605,Ericales,Ericaceae,Vaccinium stamineum var. stamineum,Woody,Shrub,Dicot,Perennial
PM_08,Asterales,Asteraceae,Vernonia gigantea,Herbaceous,Herb,Dicot,Perennial
KF724266,Asterales,Asteraceae,Vernonia noveboracensis,Herbaceous,Herb,Dicot,Perennial
HQ591749,Dipsacales,Caprifoliaceae,Viburnum nudum,Woody,Tree,Dicot,Perennial
HIMS385F,Malpighiales,Violaceae,Viola pedata,Herbaceous,Herb,Dicot,Perennial
BJX20,Vitales,Vitaceae,Vitis rotundifolia var. rotundifolia,Woody,Shrub,Dicot,Perennial
HQ644084,Asterales,Campanulaceae,Wahlenbergia marginata,Herbaceous,Herb,Dicot,Perennial
1511,Brassicales,Brassicaceae,Warea cuneifolia,Herbaceous,Herb,Dicot,Annual
PM_04,Poales,Xyridaceae,Xyris ambigua,Herbaceous,Herb,Monocot,Perennial
PM_32,Poales,Xyridaceae,Xyris baldwinia,Herbaceous,Herb,Monocot,Perennial
2012_03,Poales,Xyridaceae,Xyris drummondi,Herbaceous,Herb,Monocot,Perennial
KJ773990,Poales,Xyridaceae,Xyris elliottii,Herbaceous,Herb,Monocot,Perennial
HS_07,Poales,Xyridaceae,Xyris fimbriata,Herbaceous,Herb,Monocot,Perennial
HS_01,Poales,Xyridaceae,Xyris laxifolia var iridifolia,Herbaceous,Herb,Monocot,Perennial
GS_04,Poales,Xyridaceae,Xyris platylepis,Herbaceous,Herb,Monocot,Perennial
2012_04,Poales,Xyridaceae,Xyris torta,Herbaceous,Herb,Monocot,Perennial
1593,Asparagales,Agavaceae,Yucca filamentosa,Herbaceous,Herb,Monocot,Perennial
